id,x,y,ra,dec,r2,flag,u,g,r,i,z,uerr,gerr,rerr,ierr,zerr,e(b-v),u(SExflag),g(SExflag),r(SExflag),i(SExflag),zflag
205087,3550.12,17761.56,34.8172606,-3.7822734,9.82,8,14.9436,14.4281,14.1047,14.0539,13.8275,2.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,0.0205,0,0,0,0,-32768
207363,18146.23,17850.81,34.0615164,-3.7776098,5.7,8,14.8821,14.6698,14.7452,14.9352,14.609,2.0E-4,1.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0223,2,3,2,2,-32768
210857,5220.2,18307.96,34.730781,-3.7540717,9.95,8,15.0359,14.4463,14.0004,13.8766,13.5926,2.0E-4,1.0E-4,1.0E-4,1.0E-4,1.0E-4,0.0209,2,2,2,2,-32768
218752,4684.71,18888.35,34.7584962,-3.7240789,6.27,8,15.3876,15.1394,14.7275,14.7764,14.3712,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0209,2,2,2,2,-32768
219394,14719.02,19174.48,34.2389861,-3.7092962,5.74,8,15.6876,15.3271,14.967,15.0211,14.5733,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0233,0,0,0,0,-32768
221579,3342.61,18679.63,34.8279849,-3.734839,7.4,8,16.9964,15.5792,14.7589,14.4944,14.0268,6.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0206,0,0,0,0,-32768
6760,7935.83,259.49,34.5904176,-5.6199117,7.87,8,15.5792,15.5063,14.5537,15.3752,14.9834,5.0E-4,2.0E-4,2.0E-4,3.0E-4,4.0E-4,0.0238,2,2,2,3,-32768
7651,7610.53,566.63,34.6073026,-5.6040413,7.2,8,15.0295,14.9471,14.13,14.5882,14.1914,3.0E-4,1.0E-4,1.0E-4,2.0E-4,3.0E-4,0.0234,2,2,2,2,-32768
9183,4472.53,565.53,34.770204,-5.6040459,6.18,8,16.0016,15.3621,14.7957,14.8659,14.3391,5.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.023,2,2,2,2,-32768
11347,18309.8,798.87,34.0518885,-5.591883,8.08,8,16.6069,15.9284,14.5906,15.3588,14.4325,6.0E-4,3.0E-4,2.0E-4,3.0E-4,3.0E-4,0.0223,0,0,0,1,-32768
