CATAID,COSMOS_ID_06,COSMOS_ID_08,COSMOS_ID_13,RA,DEC,r_mag
6218189,1485813,923591.0,176549.0,150.578029867531,2.26288960586134,14.530475829696812
6217590,1481275,921859.0,181890.0,150.580827019827,2.27698233806023,14.724979465099985
6211104,0,880432.0,104677.0,149.553415768152,2.02359074063027,14.346072364295281
6206407,0,856510.0,102033.0,149.617386548192,2.01771074672148,14.018954367815617
6206240,1378646,856074.0,105058.0,149.627783745216,2.02159554812065,14.653582067336878
6206198,0,855636.0,104150.0,149.594532996221,2.02256299482724,14.359322080138647
6206024,0,854012.0,107440.0,149.645334747932,2.03456561293479,14.129214015653481
6205512,0,853533.0,108455.0,149.623767761899,2.03965771944241,14.263400557910295
6205380,0,853364.0,110034.0,149.577353737249,2.04145646505341,14.405282502815801
6205336,1373437,853572.0,109686.0,149.571810260131,2.04005701853289,14.879200971789253
6205218,0,852636.0,109475.0,149.707357980552,2.04720372187302,14.670403039096165
6205050,1371933,851677.0,113456.0,149.607080419476,2.05037797535259,14.792971956403726
6205002,1371685,851825.0,113640.0,149.660162771531,2.05222615480649,14.679755694554387
6204341,1366666,848804.0,119677.0,149.616232809132,2.07185883500969,14.907880389574856
6203333,0,843736.0,129293.0,149.644457515356,2.10510050199696,14.822861686733006
6203156,1357349,841894.0,132337.0,149.632337471197,2.11402303000829,14.095061359304346
6203121,-9999,-9999.0,126243.0,149.587500933592,2.1098863653207,14.65966628801015
6202778,1355627,842247.0,132916.0,149.666802788738,2.11636260533112,14.990181058637717
6202664,1354988,841812.0,133719.0,149.622949678789,2.11826264562143,14.888745870282783
6202553,0,841169.0,132930.0,149.655854637541,2.12289457306839,14.299666022493874
6200946,0,832509.0,97888.0,149.752515997214,2.01442200559716,14.39743108476818
6199639,1331925,826340.0,113696.0,149.735362939668,2.0566500605982,14.871306731945388
6199534,0,827537.0,109615.0,149.778518702858,2.04837342846677,14.540290363410996
6199407,1330311,826671.0,114583.0,149.754404923063,2.05531725648253,14.839473373932272
6199328,0,826737.0,112532.0,149.739248146775,2.05448389146374,14.296735892005742
6199213,0,824844.0,115735.0,149.812516628906,2.06645401037906,14.527325117205656
6199073,0,824462.0,114522.0,149.862925481384,2.06490603287823,14.439169726438571
6198847,1325876,823659.0,120623.0,149.764082764397,2.07493146050153,14.93168464000621
6198716,1324750,823394.0,119740.0,149.826794299749,2.07602716460009,14.633212994779775
6198657,0,823169.0,119373.0,149.735422889929,2.07813845282303,14.37374673088334
6198546,0,822042.0,122853.0,149.75155763589,2.08498790547779,14.527544292187734
6198364,-9999,-9999.0,120473.0,149.872678180303,2.08707016717999,14.080880803469661
6198003,1319785,820229.0,127015.0,149.729396618539,2.09891999263403,14.755603290022869
6197400,1313970,816088.0,129539.0,149.762333613607,2.12235477363699,14.722907359716935
6197333,1313753,816001.0,86434.0,149.829284914206,1.96050704425604,14.938379567874591
6195563,1297788,806705.0,103589.0,149.96787992904,2.01934171958971,14.591879097458218
6194353,1288508,799552.0,117118.0,149.98512744791,2.06878866553619,14.616271181550395
6193948,0,796925.0,118716.0,149.970536511183,2.08345551418198,14.624159687137428
